d1,d2,d3,d4,d5,d6,d7,d8,c1,c2,c3,c4,c5,c6,c7,h
5113.905234,0.0,698.2828828,284.7288526,0.0,421.5040663,2937.01004,6945.605097,2,2,2,0,2,2,2,2
2477.70817,5113.905234,0.0,698.2828828,284.7288526,0.0,421.5040663,2937.01004,2,2,0,2,2,2,2,2
2048.177763,2477.70817,5113.905234,0.0,698.2828828,284.7288526,0.0,421.5040663,2,0,2,2,2,2,2,2
2489.969765,2048.177763,2477.70817,5113.905234,0.0,698.2828828,284.7288526,0.0,0,2,2,2,2,2,2,2
2038.783578,2489.969765,2048.177763,2477.70817,5113.905234,0.0,698.2828828,284.7288526,2,2,2,2,2,2,2,2
2201.905993,2038.783578,2489.969765,2048.177763,2477.70817,5113.905234,0.0,698.2828828,2,2,2,2,2,2,2,2
2537.545407,2201.905993,2038.783578,2489.969765,2048.177763,2477.70817,5113.905234,0.0,2,2,2,2,2,2,2,2
4513.275017,2537.545407,2201.905993,2038.783578,2489.969765,2048.177763,2477.70817,5113.905234,2,2,2,2,2,2,2,2
0.0,4513.275017,2537.545407,2201.905993,2038.783578,2489.969765,2048.177763,2477.70817,2,2,2,2,2,2,2,0
651.6271073,0.0,4513.275017,2537.545407,2201.905993,2038.783578,2489.969765,2048.177763,2,2,2,2,2,2,0,2
3706.228434,651.6271073,0.0,4513.275017,2537.545407,2201.905993,2038.783578,2489.969765,2,2,2,2,2,0,2,2
1958.832206,3706.228434,651.6271073,0.0,4513.275017,2537.545407,2201.905993,2038.783578,2,2,2,2,0,2,2,2
806.8378245,1958.832206,3706.228434,651.6271073,0.0,4513.275017,2537.545407,2201.905993,2,2,2,0,2,2,2,2
0.0,806.8378245,1958.832206,3706.228434,651.6271073,0.0,4513.275017,2537.545407,2,2,0,2,2,2,2,0
0.0,0.0,806.8378245,1958.832206,3706.228434,651.6271073,0.0,4513.275017,2,0,2,2,2,2,0,0
0.0,0.0,0.0,806.8378245,1958.832206,3706.228434,651.6271073,0.0,0,2,2,2,2,0,0,2
0.0,0.0,0.0,0.0,806.8378245,1958.832206,3706.228434,651.6271073,2,2,2,2,0,0,2,0
351.9841956,0.0,0.0,0.0,0.0,806.8378245,1958.832206,3706.228434,2,2,2,0,0,2,0,2
3463.144196,351.9841956,0.0,0.0,0.0,0.0,806.8378245,1958.832206,2,2,0,0,2,0,2,2
0.0,3463.144196,351.9841956,0.0,0.0,0.0,0.0,806.8378245,2,0,0,2,0,2,2,2
4467.213586,0.0,3463.144196,351.9841956,0.0,0.0,0.0,0.0,0,0,2,0,2,2,2,2
246.1903678,4467.213586,0.0,3463.144196,351.9841956,0.0,0.0,0.0,0,2,0,2,2,2,2,2
0.0,246.1903678,4467.213586,0.0,3463.144196,351.9841956,0.0,0.0,2,0,2,2,2,2,2,0
1682.581827,0.0,246.1903678,4467.213586,0.0,3463.144196,351.9841956,0.0,0,2,2,2,2,2,0,2
563.1793347,1682.581827,0.0,246.1903678,4467.213586,0.0,3463.144196,351.9841956,2,2,2,2,2,0,2,2
705.2033917,563.1793347,1682.581827,0.0,246.1903678,4467.213586,0.0,3463.144196,2,2,2,2,0,2,2,2
0.0,705.2033917,563.1793347,1682.581827,0.0,246.1903678,4467.213586,0.0,2,2,2,0,2,2,2,2
0.0,0.0,705.2033917,563.1793347,1682.581827,0.0,246.1903678,4467.213586,2,2,0,2,2,2,2,0
47.30931445,0.0,0.0,705.2033917,563.1793347,1682.581827,0.0,246.1903678,2,0,2,2,2,2,0,2
2273.652064,47.30931445,0.0,0.0,705.2033917,563.1793347,1682.581827,0.0,0,2,2,2,2,0,2,2
0.0,2273.652064,47.30931445,0.0,0.0,705.2033917,563.1793347,1682.581827,2,2,2,2,0,2,2,0
374.7668015,0.0,2273.652064,47.30931445,0.0,0.0,705.2033917,563.1793347,2,2,2,0,2,2,0,2
4055.340531,374.7668015,0.0,2273.652064,47.30931445,0.0,0.0,705.2033917,2,2,0,2,2,0,2,2
0.0,4055.340531,374.7668015,0.0,2273.652064,47.30931445,0.0,0.0,2,0,2,2,0,2,2,0
3473.314662,0.0,4055.340531,374.7668015,0.0,2273.652064,47.30931445,0.0,0,2,2,0,2,2,0,2
307.4380596,3473.314662,0.0,4055.340531,374.7668015,0.0,2273.652064,47.30931445,2,2,0,2,2,0,2,2
1743.344921,307.4380596,3473.314662,0.0,4055.340531,374.7668015,0.0,2273.652064,2,0,2,2,0,2,2,2
0.0,1743.344921,307.4380596,3473.314662,0.0,4055.340531,374.7668015,0.0,0,2,2,0,2,2,2,2
510.5418458,0.0,1743.344921,307.4380596,3473.314662,0.0,4055.340531,374.7668015,2,2,0,2,2,2,2,2
1395.563506,510.5418458,0.0,1743.344921,307.4380596,3473.314662,0.0,4055.340531,2,0,2,2,2,2,2,2
1142.44596,1395.563506,510.5418458,0.0,1743.344921,307.4380596,3473.314662,0.0,0,2,2,2,2,2,2,2
